id,report_id,account_name,balance_start,income_amount,expense_amount,balance_current,account_type,level,currency,is_total_row,created_at,subconto,parent_id,account_id,parent_account_id
d2bbfa35-7bc3-4b0d-873d-db622b3ad623,5e50b7ec-3a41-4891-af2f-4d27d84278ec,,0.00,0.00,381739.80,0.00,total,3,RUB,false,2025-07-23 17:32:42.096449+00,2.1.1.Оплатапофактузатоварыиосновныематериалы,de670816-83a6-4431-9f4c-aecf17e94c3a,227a715a-e46d-11ef-967e-2c6dc1e036d0,98597a40-5e37-11f0-967e-2c6dc1e036d0
de670816-83a6-4431-9f4c-aecf17e94c3a,5e50b7ec-3a41-4891-af2f-4d27d84278ec,,46817.76,0.00,26500.00,20317.76,total,2,RUB,false,2025-07-23 17:32:42.096449+00,,92cc61d2-6f7d-494c-b911-cd627ebc119b,445c70f5-63a8-11f0-967e-2c6dc1e036d0,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1
d15d57f2-2486-41ba-a62e-71afde1f0d1f,5e50b7ec-3a41-4891-af2f-4d27d84278ec,,4609398.27,0.00,381739.80,4227658.47,total,2,RUB,false,2025-07-23 17:32:42.096449+00,,92cc61d2-6f7d-494c-b911-cd627ebc119b,98597a40-5e37-11f0-967e-2c6dc1e036d0,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1
70915584-d8f6-4903-9016-233732e147c8,5e50b7ec-3a41-4891-af2f-4d27d84278ec,,1476.21,0.00,0.00,1476.21,total,1,RUB,true,2025-07-23 17:32:42.096449+00,,,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1,
1fee3a82-c3c4-4aae-83ef-070e818d64cc,5e50b7ec-3a41-4891-af2f-4d27d84278ec,,6000000.00,6000000.00,6000000.00,6000000.00,total,1,RUB,false,2025-07-23 17:32:42.096449+00,,,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1,
74945db6-9e0c-4134-b1d3-a70d07344c35,718e592b-5a5e-44e0-84dd-63f6433bfa71,Альфа-банк,0.00,0.00,826200.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.000341+00,3.9.2.Отчислениявфондысзаработнойплаты,6ba8a625-2ae5-4b62-9f5f-f1feefc888fd,28bd4765-e46d-11ef-967e-2c6dc1e036d0,495fafa7-d68b-11ef-967e-2c6dc1e036d0
2c2466f0-754d-46b2-8063-22e6c00811fa,718e592b-5a5e-44e0-84dd-63f6433bfa71,,1056975.97,0.00,1170.00,1055805.97,total,1,RUB,true,2025-07-23 17:32:42.000341+00,,,0d5c1a45-7a3d-4db6-af5c-e6f388e42525,
83af9516-cd3f-41b2-8703-d321497d1a7b,718e592b-5a5e-44e0-84dd-63f6433bfa71,Альфа-банк,0.00,0.00,400000.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.000341+00,2.1.4.ТаможенныепошлиныиНДС,6ba8a625-2ae5-4b62-9f5f-f1feefc888fd,053f0b62-e3d6-11ef-967e-2c6dc1e036d0,495fafa7-d68b-11ef-967e-2c6dc1e036d0
f3304240-0979-4065-a276-c7d375b012ee,718e592b-5a5e-44e0-84dd-63f6433bfa71,,5853457.71,1997012.00,1665051.00,6185418.71,total,1,RUB,false,2025-07-23 17:32:42.000341+00,,,0d5c1a45-7a3d-4db6-af5c-e6f388e42525,
6ba8a625-2ae5-4b62-9f5f-f1feefc888fd,718e592b-5a5e-44e0-84dd-63f6433bfa71,Альфа-банк,4520716.73,1652303.86,1663026.00,4509994.59,bank,2,RUB,false,2025-07-23 17:32:42.000341+00,,f3304240-0979-4065-a276-c7d375b012ee,495fafa7-d68b-11ef-967e-2c6dc1e036d0,0d5c1a45-7a3d-4db6-af5c-e6f388e42525
